OS,SP,ARCH,FILE,MINVER,FIXVER,DIR,BULLETIN,KB
6,1,x64,Srv.sys,6.0.6000.20000,6.0.6001.18381,\system32\drivers,bulletin,kb
6,1,x64,Srv.sys,6.0.6001.20000,6.0.6001.22581,\system32\drivers,bulletin,kb
6,2,x64,Srv.sys,6.0.6001.20000,6.0.6002.18164,\system32\drivers,bulletin,kb
6,2,x64,Srv.sys,6.0.6002.20000,6.0.6002.22286,\system32\drivers,bulletin,kb
5.2,2,x64,Srv.sys,6.0.6002.20000,5.2.3790.4634,\system32\drivers,bulletin,kb
5.1,3,x64,Srv.sys,6.0.6002.20000,5.1.2600.5923,\system32\drivers,bulletin,kb
5.1,2,x64,Srv.sys,6.0.6002.20000,5.1.2600.3662,\system32\drivers,bulletin,kb
5,2,x64,Srv.sys,6.0.6002.20000,5.0.2195.7365,\system32\drivers,bulletin,kb
6.1,2,x64,Quartz.dll,6.6.7600.20000,6.6.7600.20600,\System32,bulletin,975560
6.1,2,x64,Quartz.dll,6.6.7600.16000,6.6.7600.16490,\System32,bulletin,975560
6,2,x64,Quartz.dll,6.6.6002.22000,6.6.6002.22295,\System32,bulletin,975560
6,2,x64,Quartz.dll,6.6.6002.18000,6.6.6002.18158,\System32,bulletin,975560
6,1,x64,Quartz.dll,6.6.6001.22000,6.6.6001.22590,\System32,bulletin,975560
6,1,x64,Quartz.dll,6.6.6001.18000,6.6.6001.18389,\System32,bulletin,975560
6,0,x64,Quartz.dll,6.6.6000.20000,6.6.6000.21188,\System32,bulletin,975560
6,0,x64,Quartz.dll,6.6.6000.16000,6.6.6000.16986,\System32,bulletin,975560
5.2,2,x64,Avifil32.dll,6.6.6000.16000,5.2.3790.4625,\System32,bulletin,977914
5.2,2,x64,Quartz.dll,6.6.6000.16000,6.5.3790.4625,\System32,bulletin,975560
5.1,3,x86,Avifil32.dll,6.6.6000.16000,5.1.2600.5908,\System32,bulletin,977914
5.1,2,x86,Avifil32.dll,6.6.6000.16000,5.1.2600.3649,\System32,bulletin,977914
5.1,3,x86,Quartz.dll,6.6.6000.16000,6.5.2600.5908,\System32,bulletin,975560
5.1,2,x86,Quartz.dll,6.6.6000.16000,6.5.2600.3649,\System32,bulletin,975560
5,2,x86,Avifil32.dll,6.6.6000.16000,5.0.2195.7359,\System32,bulletin,977914
5,2,x86,Quartz.dll,6.5.0.0,6.5.1.913,\System32,bulletin,975560
5,2,x86,Quartz.dll,6.5.0.0,6.1.9.738,\System32,bulletin,975560
6,1,x86,Kdcsvc.dll,6.5.0.0,6.0.6001.18374,\system32,bulletin,kb
6,1,x86,Kdcsvc.dll,6.0.6001.20000,6.0.6001.22574,\system32,bulletin,kb
6,2,x86,Kdcsvc.dll,6.0.6001.20000,6.0.6002.18157,\system32,bulletin,kb
6,2,x86,Kdcsvc.dll,6.0.6001.20000,6.0.6002.22280,\system32,bulletin,kb
5.2,2,x86,Kdcsvc.dll,6.0.6001.20000,5.2.3790.4628,\system32,bulletin,kb
5,2,x86,Kdcsvc.dll,6.0.6001.20000,5.0.2195.7361,\system32,bulletin,kb
6.1,0,x86,ntoskrnl.exe,6.0.6001.20000,6.1.7600.16481,\system32,bulletin,kb
6.1,0,x86,ntoskrnl.exe,6.1.7600.20000,6.1.7600.20591,\system32,bulletin,kb
6,0,x86,ntoskrnl.exe,6.1.7600.20000,6.0.6000.16973,\system32,bulletin,kb
6,0,x86,ntoskrnl.exe,6.0.6000.20000,6.0.6000.21175,\system32,bulletin,kb
6,1,x86,ntoskrnl.exe,6.0.6000.20000,6.0.6001.18377,\system32,bulletin,kb
6,1,x86,ntoskrnl.exe,6.0.6001.22000,6.0.6001.22577,\system32,bulletin,kb
6,2,x86,ntoskrnl.exe,6.0.6001.22000,6.0.6002.18160,\system32,bulletin,kb
6,2,x86,ntoskrnl.exe,6.0.6002.22000,6.0.6002.22283,\system32,bulletin,kb
5.2,2,x86,ntoskrnl.exe,5.2.0.0,5.2.3790.4637,\system32,bulletin,kb
5.1,2,x86,ntoskrnl.exe,5.1.0.0,5.1.2600.3654,\system32,bulletin,kb
5.1,3,x86,ntoskrnl.exe,5.1.0.0,5.1.2600.5913,\system32,bulletin,kb
5,3,x86,ntoskrnl.exe,5.0.0.0,5.0.2195.7364,\system32,bulletin,kb
6.1,3,x86,Moviemk.exe,2.6.0.0,2.6.4038.0,\system32,bulletin,kb
6,2,x86,Moviemk.dll,6.0.6002.22000,6.0.6002.22245,\system32,bulletin,kb
6,2,x86,Moviemk.dll,6.0.6002.18000,6.0.6002.18121,\system32,bulletin,kb
6,1,x86,Moviemk.dll,6.0.6001.22000,6.0.6001.22541,\system32,bulletin,kb
6,1,x86,Moviemk.dll,6.0.6001.18000,6.0.6001.18341,\system32,bulletin,kb
6,0,x86,Moviemk.dll,6.0.6000.20000,6.0.6000.21139,\system32,bulletin,kb
6,0,x86,Moviemk.dll,6.0.6000.16000,6.0.6000.16937,\system32,bulletin,kb
6,0,x86,Moviemk.exe,2.6.0.0,2.6.4038.0,\system32,bulletin,kb
5.2,2,x64,Moviemk.exe,2.6.0.0,2.1.4030.0,\system32,bulletin,kb
5.1,3,x86,Moviemk.exe,2.6.0.0,2.1.4027.0,\system32,bulletin,kb
5.1,2,x86,Moviemk.exe,2.6.0.0,2.1.4027.0,\system32,bulletin,kb
6.1,2,x86,Mshtml.dll,8.0.7600.20000,8.0.7600.20651,\system32,bulletin,kb
6.1,2,x86,Mshtml.dll,8.0.7600.16000,8.0.7600.16535,\system32,bulletin,kb
6,2,x86,Mshtml.dll,8.0.6001.20000,8.0.6001.22995,\system32,bulletin,kb
6,2,x86,Mshtml.dll,8.0.6001.18000,8.0.6001.18904,\system32,bulletin,kb
6,2,x86,Mshtml.dll,7.0.6002.20000,7.0.6002.22360,\system32,bulletin,kb
6,2,x86,Mshtml.dll,7.0.6002.18000,7.0.6002.18226,\system32,bulletin,kb
6,1,x86,Mshtml.dll,7.0.6001.20000,7.0.6001.22653,\system32,bulletin,kb
6,1,x86,Mshtml.dll,7.0.6001.18000,7.0.6001.18444,\system32,bulletin,kb
6,0,x86,Mshtml.dll,7.0.6000.20000,7.0.6000.21242,\system32,bulletin,kb
6,0,x86,Mshtml.dll,7.0.6000.16000,7.0.6000.17037,\system32,bulletin,kb
5.2,2,x86,Mshtml.dll,8.0.6001.20000,8.0.6001.22995,\system32,bulletin,kb
5.2,2,x86,Mshtml.dll,8.0.0.0,8.0.6001.18904,\system32,bulletin,kb
5.2,2,x86,Mshtml.dll,7.0.6000.20000,7.0.6000.21228,\system32,bulletin,kb
5.2,2,x86,Mshtml.dll,7.0.0.0,7.0.6000.17023,\system32,bulletin,kb
5.2,2,x86,Mshtml.dll,6.0.0.0,6.0.3790.4672,\system32,bulletin,kb
5.1,3,x86,Mshtml.dll,8.0.6001.20000,8.0.6001.22995,\system32,bulletin,kb
5.1,3,x86,Mshtml.dll,8.0.0.0,8.0.6001.18904,\system32,bulletin,kb
5.1,2,x86,Mshtml.dll,8.0.6001.20000,8.0.6001.22995,\system32,bulletin,kb
5.1,2,x86,Mshtml.dll,8.0.0.0,8.0.6001.18904,\system32,bulletin,kb
5.1,3,x86,Mshtml.dll,7.0.6000.20000,7.0.6000.21228,\system32,bulletin,kb
5.1,3,x86,Mshtml.dll,7.0.0.0,7.0.6000.17023,\system32,bulletin,kb
5.1,2,x86,Mshtml.dll,7.0.6000.20000,7.0.6000.21228,\system32,bulletin,kb
5.1,2,x86,Mshtml.dll,7.0.0.0,7.0.6000.17023,\system32,bulletin,kb
5.1,2,x86,Msrating.dll,6.0.0.0,6.0.2900.3676,\system32,bulletin,kb
5.1,3,x86,Mshtml.dll,6.0.2900.0,6.0.2900.5945,\system32,bulletin,kb
5.1,2,x86,Mshtml.dll,6.0.2900.0,6.0.2900.3676,\system32,bulletin,kb
5,2,x86,Msrating.dll,6.0.0.0,6.0.2800.2002,\system32,bulletin,kb
5,2,x86,Mshtml.dll,5.0.0.0,5.0.3886.1900,\system32,bulletin,kb
6.1,2,x86,Wintrust.dll,6.1.7600.20000,6.1.7600.20605,\system32,bulletin,978601
6.1,2,x86,Wintrust.dll,6.1.7600.16000,6.1.7600.16493,\system32,bulletin,978601
6.1,2,x86,Cabview.dll,6.1.7600.20000,6.1.7600.20613,\system32,bulletin,979309
6.1,2,x86,Cabview.dll,6.1.7600.16000,6.1.7600.16500,\system32,bulletin,979309
6,2,x86,Wintrust.dll,6.0.6001.22000,6.0.6002.22293,\system32,bulletin,978601
6,2,x86,Wintrust.dll,6.0.6001.18000,6.0.6002.18169,\system32,bulletin,978601
6,1,x86,Wintrust.dll,6.0.6001.22000,6.0.6001.22588,\system32,bulletin,978601
6,1,x86,Wintrust.dll,6.0.6001.18000,6.0.6001.18387,\system32,bulletin,978601
6,0,x86,Wintrust.dll,6.0.6000.20000,6.0.6000.21186,\system32,bulletin,978601
6,0,x86,Wintrust.dll,6.0.6000.16000,6.0.6000.16984,\system32,bulletin,978601
6,2,x86,Cabview.dll,6.0.6001.22000,6.0.6002.22311,\system32,bulletin,979309
6,2,x86,Cabview.dll,6.0.6001.18000,6.0.6002.18184,\system32,bulletin,979309
6,1,x86,Cabview.dll,6.0.6001.22000,6.0.6001.22605,\system32,bulletin,979309
6,1,x86,Cabview.dll,6.0.6001.18000,6.0.6001.18404,\system32,bulletin,979309
6,0,x86,Cabview.dll,6.0.6000.20000,6.0.6000.21203,\system32,bulletin,979309
6,0,x86,Cabview.dll,6.0.6000.16000,6.0.6000.17002,\system32,bulletin,979309
5.2,2,x86,Wintrust.dll,6.0.6000.16000,5.131.3790.4642,\system32,bulletin,978601
5.2,2,x86,Cabview.dll,6.0.6000.16000,6.0.3790.4649,\system32,bulletin,979309
5.1,3,x86,Wintrust.dll,5.131.2600.5000,5.131.2600.5922,\system32,bulletin,978601
5.1,2,x86,Wintrust.dll,5.131.2600.5000,5.131.2600.3661,\system32,bulletin,978601
5.1,3,x86,Cabview.dll,6.0.2900.5000,6.0.2900.5927,\system32,bulletin,979309
5.1,2,x86,Cabview.dll,6.0.2900.5000,6.0.2900.3663,\system32,bulletin,979309
5,2,x86,Wintrust.dll,6.0.2900.5000,5.131.2195.7375,\system32,bulletin,978601
5,2,x86,Cabview.dll,6.0.2900.5000,5.0.3900.7369,\system32,bulletin,979309
6.1,2,x86,Mrxsmb.sys,6.1.7600.20000,6.1.7600.20655,\system32\drivers,bulletin,kb
