OS,SP,ARCH,FILE,MINVER,FIXVER,DIR,BULLETIN,KB
,,,fm4av.dll,,4.10.16130.384,,,
,,,exe,,4.50.0.169,,,
6.1,,,Ntdll.dll,6.1.7600.20000,6.1.7600.20745,\system32,,
6.1,,,Ntdll.dll,6.1.7600.16000,6.1.7600.16625,\system32,,
6,2,,Ntdll.dll,6.0.6002.22000,6.0.6002.22435,\system32,,
6,2,,Ntdll.dll,6.0.6002.18000,6.0.6002.18279,\system32,,
6,1,,Ntdll.dll,6.0.6001.22000,6.0.6001.22721,\system32,,
6,1,,Ntdll.dll,6.0.6001.18000,6.0.6001.18499,\system32,,
5.2,2,,Ntdll.dll,6.0.6001.18000,5.2.3790.4737,\system32,,
5.1,3,x86,Ntdll.dll,6.0.6001.18000,5.1.2600.6007,\system32,,
6.1,3,x86,Tapisrv.dll,6.1.7600.20000,6.1.7600.20756,\system32,,
6.1,3,x86,Tapisrv.dll,6.1.7600.16000,6.1.7600.16637,\system32,,
6,2,x86,Tapisrv.dll,6.0.6002.22000,6.0.6002.22390,\system32,,
6,2,x86,Tapisrv.dll,6.0.6002.18000,6.0.6002.18247,\system32,,
6,1,x86,Tapisrv.dll,6.0.6001.22000,6.0.6001.22676,\system32,,
6,1,x86,Tapisrv.dll,6.0.6001.18000,6.0.6001.18463,\system32,,
5.2,2,x86,Tapisrv.dll,6.0.6001.18000,5.2.3790.4699,\system32,,
5.2,2,x86,Aclayers.dll,6.0.6001.18000,5.2.3790.4624,\AppPatch,,
5.1,2,x86,Aclayers.dll,6.0.6001.18000,5.1.2600.3637,\AppPatch,,
5.1,3,x86,Aclayers.dll,6.0.6001.18000,5.1.2600.5906,\AppPatch,,
5,3,x86,Aclayers.dll,6.0.6001.18000,5.0.2195.7358,\AppPatch,,
5.1,1,x86,Termsrv.dll,6.0.6001.18000,5.1.2600.1646,\system32,,
5.2,0,x86,Wmp.dll,9.0.0.0,9.0.0.3263,\system32,,
5.1,1,x86,Wmp.dll,9.0.0.0,9.0.0.3263,\system32,,
5,1,x86,Wmp.dll,9.0.0.0,9.0.0.3263,\system32,,
5.2,0,x86,Wmp.dll,10.0.0.0,10.0.0.3701,\system32,,
5.1,1,x86,Wmp.dll,10.0.0.0,10.0.0.3701,\system32,,
5.2,0,x86,Mshtml.dll,10.0.0.0,6.0.3790.279,\system32,,
5.1,1,x86,Mshtml.dll,10.0.0.0,6.0.2800.1498,\system32,,
5.1,2,x86,Mshtml.dll,10.0.0.0,6.0.2900.2627,\system32,,
5,2,x86,Mshtml.dll,6.0.0.0,6.0.2800.1498,\system32,,
5,3,x86,Mshtml.dll,6.0.0.0,5.0.3539.2400,\system32,,
5,4,x86,Mshtml.dll,6.0.0.0,5.0.3826.2400,\system32,,
5.1,0,x86,Smtpsvc.dll,6.0.0.0,6.0.2600.28,\system32,,
5,0,x86,Smtpsvc.dll,6.0.0.0,5.0.2195.4905,\system32,,
5,0,x86,Jview.exe,6.0.0.0,5.0.3.3805,\system32,,
5.1,0,x86,Mup.sys,6.0.0.0,5.1.2600.19,\system32\drivers,,
5,0,x86,Mup.sys,6.0.0.0,5.0.2195.5080,\system32\drivers,,
4,0,x86,Mup.sys,6.0.0.0,4.0.1381.7125,\system32\drivers,,
5.1,0,x86,W3svc.dll,6.0.0.0,5.1.2600.1125,\system32\inetsrv,,
5,0,x86,W3svc.dll,6.0.0.0,5.0.2195.5995,\system32\inetsrv,,
4,0,x86,W3svc.dll,6.0.0.0,4.2.780.1,\system32\inetsrv,,
5,0,x86,Smss.exe,6.0.0.0,5.0.2195.5695,\system32,,
4,0,x86,Smss.exe,6.0.0.0,4.0.1381.7152,\system32,,
5,0,x86,Exprox.dll,6.0.0.0,6.0.5770.91,path,,
5.1,0,x86,Rasapi32.dll,6.0.0.0,5.1.2600.28,\system32,,
5,0,x86,Rasapi32.dll,6.0.0.0,5.0.2195.4983,\system32,,
4,0,x86,Rasapi32.dll,6.0.0.0,4.0.1381.7140,\system32,,
4,0,x86,odbcbcp.dll,3.0.0.0,3.70.11.40,\system32,,
4,0,x86,odbcbcp.dll,2000.80.0.0,2000.80.746.0,\system32,,
4,0,x86,odbcbcp.dll,2000.81.0.0,2000.81.9001.40,\system32,,
4,0,x86,odbcbcp.dll,2000.81.9030.0,2000.81.9041.40,\system32,,
5,0,x86,Netman.dll,2000.81.9030.0,5.0.2195.5974,\system32,,
5.1,0,x86,Xactsrv.dll,2000.81.9030.0,5.1.2600.50,\system32,,
5,0,x86,Xactsrv.dll,2000.81.9030.0,5.0.2195.5971,\system32,,
4,0,x86,Xactsrv.dll,2000.81.9030.0,4.0.1381.7181,\system32,,
4,0,x86,Xactsrv.dll,4.0.1381.33000,4.0.1381.33538,\system32,,
5.1,0,x86,Xenroll.dll,4.0.1381.33000,5.131.3659.0,\system32,,
5,0,x86,Xenroll.dll,4.0.1381.33000,5.131.3659.0,\system32,,
4,0,x86,Xenroll.dll,4.0.1381.33000,5.131.3659.0,\system32,,
5.1,0,x86,Crypt32.dll,4.0.1381.33000,5.131.2600.1123,\system32,,
5,4,x86,Cryptdlg.dll,4.0.1381.33000,5.0.1558.6608,\system32,,
5,3,x86,Cryptdlg.dll,4.0.1381.33000,5.0.1558.6072,\system32,,
4,3,x86,Crypt32.dll,4.0.1381.33000,5.131.1878.12,\system32,,
5.1,0,x86,Rdpwd.sys,4.0.1381.33000,5.1.2600.48,\system32\drivers,,
5,0,x86,Rdpwd.sys,4.0.1381.33000,5.0.2195.5880,\system32\drivers,,
5.1,1,x86,Zipfldr.dll,4.0.1381.33000,6.0.2800.1126,\system32,,
5.1,0,x86,Zipfldr.dll,4.0.1381.33000,6.0.2600.101,\system32,,
5.1,0,x86,Hhctrl.ocx,4.0.1381.33000,5.2.3669.0,\system32,,
5,0,x86,Hhctrl.ocx,4.0.1381.33000,5.2.3669.0,\system32,,
4,0,x86,Hhctrl.ocx,4.0.1381.33000,5.2.3669.0,\system32,,
5.1,0,x86,Helpctr.exe,4.0.1381.33000,5.1.2600.101,\pchealth\helpctr\binaries,,
5.1,1,x86,Raspptp.sys,4.0.1381.33000,5.1.2600.1129,\system32\drivers,,
5.1,0,x86,Raspptp.sys,4.0.1381.33000,5.1.2600.101,\system32\drivers,,
5,0,x86,Raspptp.sys,4.0.1381.33000,5.0.2195.6076,\system32\drivers,,
5.1,1,x86,Srv.sys,4.0.1381.33000,5.1.2600.1154,\system32\drivers,,
5.1,0,x86,Srv.sys,4.0.1381.33000,5.1.2600.105,\system32\drivers,,
5,0,x86,Srv.sys,4.0.1381.33000,5.0.2195.6110,\system32\drivers,,
5.1,1,x86,User32.dll,4.0.1381.33000,5.1.2600.1134,\system32,,
5.1,0,x86,User32.dll,4.0.1381.33000,5.1.2600.104,\system32,,
5,0,x86,User32.dll,4.0.1381.33000,5.0.2195.6097,\system32,,
4,0,x86,User32.dll,4.0.1381.33000,4.0.1381.7202,\system32,,
4,0,x86,User32.dll,4.0.1381.33000,4.0.1381.33544,\system32,,
5.1,1,x86,Shmedia.dll,4.0.1381.33000,6.0.2800.1125,\system32,,
5.1,0,x86,Shmedia.dll,4.0.1381.33000,6.0.2800.101,\system32,,
5.1,1,x86,Locator.exe,4.0.1381.33000,5.1.2600.1147,\system32,,
5.1,0,x86,Locator.exe,4.0.1381.33000,5.1.2600.108,\system32,,
5,0,x86,Locator.exe,4.0.1381.33000,5.0.2195.6136,\system32,,
4,0,x86,Locator.exe,4.0.1381.33000,4.0.1381.7202,\system32,,
4,0,x86,Locator.exe,4.0.1381.33000,4.0.1381.33534,\system32,,
5.1,1,x86,Mrxsmb.sys,4.0.1381.33000,5.1.2600.1143,\system32\Drivers,,
5.1,0,x86,Mrxsmb.sys,4.0.1381.33000,5.1.2600.106,\system32\Drivers,,
5.1,1,x86,Ntdll.dll,4.0.1381.33000,5.1.2600.1217,\system32,,
5.1,0,x86,Ntdll.dll,4.0.1381.33000,5.1.2600.114,\system32,,
5,0,x86,Ntdll.dll,4.0.1381.33000,5.0.2195.6685,\system32,,
4,0,x86,Ntdll.dll,4.0.1381.33000,4.0.1381.7212,\system32,,
4,0,x86,Ntdll.dll,4.0.1381.33000,4.0.1381.33546,\system32,,
5.1,0,x86,Jscript.dll,4.0.1381.33000,5.6.0.8513,\system32,,
5,0,x86,Jscript.dll,5.5.0.0,5.5.0.8513,\system32,,
5,0,x86,Jscript.dll,5.5.0.0,5.1.0.813,\system32,,
5.1,1,x86,Rpcrt4.dll,5.5.0.0,5.1.2600.1140,\system32,,
5.1,0,x86,Rpcrt4.dll,5.5.0.0,5.1.2600.105,\system32,,
5,0,x86,Rpcrt4.dll,5.5.0.0,5.0.2195.6106,\system32,,
4,0,x86,Rpcrt4.dll,5.5.0.0,5.0.0.0,\system32,,
4,0,x86,Jview.exe,5.5.0.0,5.0.3810.0,\system32,,
5.1,1,x86,Ntkrnlmp.exe,5.5.0.0,5.1.2600.1151,\system32,,
5.1,0,x86,Ntkrnlmp.exe,5.5.0.0,5.1.2600.108,\system32,,
5,0,x86,Ntkrnlmp.exe,5.5.0.0,5.0.2195.6159,\system32,,
4,0,x86,Ntkrnlmp.exe,5.5.0.0,4.0.1381.7203,\system32,,
4,0,x86,Ntkrnlmp.exe,4.0.1381.33000,4.0.1381.33545,\system32,,
5.1,0,x86,W3svc.dll,4.0.1381.33000,5.1.2600.1166,\system32\inetsrv,,
5,0,x86,W3svc.dll,4.0.1381.33000,5.0.2195.6672,\system32\inetsrv,,
4,0,x86,W3svc.dll,4.0.1381.33000,4.2.785.1,\system32\inetsrv,,
5.2,0,x86,Msconv97.dll,4.0.1381.33000,2003.1100.5426.0,\system32\inetsrv,,
5.1,1,x86,Msconv97.dll,4.0.1381.33000,2003.1100.5426.0,\system32\inetsrv,,
5.1,0,x86,Msconv97.dll,4.0.1381.33000,2003.1100.5426.0,\system32\inetsrv,,
5,0,x86,Msconv97.dll,4.0.1381.33000,2003.1100.5426.0,\system32\inetsrv,,
4,0,x86,Msconv97.dll,4.0.1381.33000,2003.1100.5426.0,\system32\inetsrv,,
5.1,1,x86,Srv.sys,4.0.1381.33000,5.1.2600.1193,\system32\Drivers,,
5.1,0,x86,Srv.sys,4.0.1381.33000,5.1.2600.112,\system32\Drivers,,
5,0,x86,Srv.sys,4.0.1381.33000,5.0.2195.6699,\system32\Drivers,,
4,0,x86,Srv.sys,4.0.1381.33000,4.0.1381.7214,\system32\Drivers,,
4,0,x86,Srv.sys,4.0.1381.33000,4.0.1381.33547,\system32\Drivers,,
5,0,x86,Umandlg.dll,4.0.1381.33000,1.0.0.3,\system32,,
5.2,0,x86,Rpcrt4.dll,4.0.1381.33000,5.2.3790.59,\system32,,
5.1,1,x86,Rpcrt4.dll,4.0.1381.33000,5.1.2600.1230,\system32,,
5.1,0,x86,Rpcrt4.dll,4.0.1381.33000,5.1.2600.109,\system32,,
5,0,x86,Rpcrt4.dll,4.0.1381.33000,5.0.2195.6753,\system32,,
4,0,x86,Rpcrt4.dll,4.0.1381.33000,4.0.1381.7219,\system32,,
4,0,x86,Rpcrt4.dll,4.0.1381.33000,4.0.1381.33474,\system32,,
5.1,1,x86,Shell32.dll,4.0.1381.33000,6.0.2800.1233,\system32,,
5.1,0,x86,Shell32.dll,4.0.1381.33000,6.0.2800.115,\system32,,
4,0,x86,Kernel32.dll,4.0.1381.33000,4.0.1381.7224,\system32,,
4,0,x86,Kernel32.dll,4.0.1381.33000,4.0.1381.33549,\system32,,
5.2,0,x86,Quartz.dll,6.4.0.0,6.4.3790.9,\system32,,
5.2,0,x86,Quartz.dll,6.5.0.0,6.5.1.902,\system32,,
5.1,1,x86,Quartz.dll,6.4.0.0,6.4.2600.1221,\system32,,
5.1,0,x86,Quartz.dll,6.4.0.0,6.4.2600.113,\system32,,
5.1,0,x86,Quartz.dll,6.5.0.0,6.5.1.902,\system32,,
5,3,x86,Quartz.dll,6.1.0.0,6.1.9.729,\system32,,
5,3,x86,Quartz.dll,6.5.0.0,6.5.1.902,\system32,,
5,3,x86,Quartz.dll,6.3.0.0,6.3.1.886,\system32,,
4,3,x86,Quartz.dll,6.1.0.0,6.1.5.132,\system32,,
5.2,0,x86,Netbt.sys,6.1.0.0,5.2.3790.69,\system32\drivers,,
5.1,1,x86,Netbt.sys,6.1.0.0,5.1.2600.1243,\system32\drivers,,
5.1,0,x86,Netbt.sys,6.1.0.0,5.1.2600.117,\system32\drivers,,
5,0,x86,Netbt.sys,6.1.0.0,5.0.2195.6783,\system32\drivers,,
4,0,x86,Netbt.sys,6.1.0.0,4.0.1381.7224,\system32\drivers,,
4,0,x86,vbe.dll,5.0.0.0,5.0.78.15,\system32\drivers,,
4,0,x86,vbe6.dll,6.0.0.0,6.4.99.69,\system32\drivers,,
5.2,0,x86,Cryptui.dll,6.0.0.0,5.131.3790.67,\system32,,
5.1,1,x86,Cryptui.dll,6.0.0.0,5.131.2600.1243,\system32,,
5.1,0,x86,Cryptui.dll,6.0.0.0,5.131.2600.117,\system32,,
5,0,x86,Cryptui.dll,6.0.0.0,5.131.2195.6758,\system32,,
4,0,x86,Cryptui.dll,6.0.0.0,5.131.1878.14,\system32,,
5,0,x86,tshoot.ocx,6.0.0.0,1.0.1.2125,\help,,
5.2,0,x86,Msgsvc.dll,6.0.0.0,5.2.3790.90,\system32,,
5.1,1,x86,Msgsvc.dll,6.0.0.0,5.1.2600.1309,\system32,,
5.1,0,x86,Msgsvc.dll,6.0.0.0,5.1.2600.121,\system32,,
5,0,x86,Msgsvc.dll,6.0.0.0,5.0.2195.6861,\system32,,
4,0,x86,Msgsvc.dll,6.0.0.0,4.0.1381.7236,\system32,,
4,0,x86,Msgsvc.dll,4.0.1381.33000,4.0.1381.33553,\system32,,
4,0,x86,itircl.dll,4.0.1381.33000,5.2.3790.80,\system32,,
5.2,0,x86,User32.dll,4.0.1381.33000,5.2.3790.73,\system32,,
5.1,1,x86,User32.dll,4.0.1381.33000,5.1.2600.1255,\system32,,
5.1,0,x86,User32.dll,4.0.1381.33000,5.1.2600.118,\system32,,
5,0,x86,User32.dll,4.0.1381.33000,5.0.2195.6799,\system32,,
4,0,x86,User32.dll,4.0.1381.33000,4.0.1381.7229,\system32,,
4,0,x86,User32.dll,4.0.1381.33000,4.0.1381.33550,\system32,,
5.1,1,x86,Msasn1.dll,4.0.1381.33000,5.1.2600.1309,\system32,,
5.1,0,x86,Msasn1.dll,4.0.1381.33000,5.1.2600.121,\system32,,
5,0,x86,wkssvc.dll,4.0.1381.33000,5.0.2195.6862,\system32,,
5.2,0,x86,exprox.dll,4.0.1381.33000,6.5.6980.57,path,,
5.2,0,x86,odbcbcp.dll,3.0.0.0,3.70.11.46,\system32,,
5.2,0,x86,odbcbcp.dll,2000.80.0.0,2000.80.747.0,\system32,,
5.2,0,x86,odbcbcp.dll,2000.81.0.0,2000.81.9002.0,\system32,,
5.2,0,x86,odbcbcp.dll,2000.81.9030.0,2000.81.9042.0,\system32,,
5.2,0,x86,odbcbcp.dll,2000.85.0.0,2000.85.1025.0,\system32,,
5.2,0,x86,Wins.exe,2000.85.0.0,5.2.3790.99,\system32,,
5,0,x86,Wins.exe,2000.85.0.0,5.0.2195.6870,\system32,,
4,0,x86,Wins.exe,2000.85.0.0,4.0.1381.7255,\system32,,
4,0,x86,Wins.exe,4.0.1381.33000,4.0.1381.33554,\system32,,
5.2,0,x86,Msasn1.dll,4.0.1381.33000,5.2.3790.88,\system32,,
5.1,1,x86,Msasn1.dll,4.0.1381.33000,5.1.2600.1274,\system32,,
5.1,0,x86,Msasn1.dll,4.0.1381.33000,5.1.2600.119,\system32,,
5,0,x86,Msasn1.dll,4.0.1381.33000,5.0.2195.6823,\system32,,
4,0,x86,Msasn1.dll,4.0.1381.33000,5.0.2195.6824,\system32,,
5.2,0,x86,Lsasrv.dll,4.0.1381.33000,5.2.3790.134,\system32,,
5.1,1,x86,Lsasrv.dll,4.0.1381.33000,5.1.2600.1361,\system32,,
5.1,0,x86,Lsasrv.dll,4.0.1381.33000,5.1.2600.134,\system32,,
5,0,x86,Lsasrv.dll,4.0.1381.33000,5.0.2195.6902,\system32,,
4,0,x86,Winsrv.dll,4.0.1381.33000,4.0.1381.7260,\system32,,
5.2,0,x86,Rpcrt4.dll,4.0.1381.33000,5.2.3790.137,\system32,,
5.1,1,x86,Rpcrt4.dll,4.0.1381.33000,5.1.2600.1361,\system32,,
5.1,0,x86,Rpcrt4.dll,4.0.1381.33000,5.1.2600.135,\system32,,
5,0,x86,Rpcrt4.dll,4.0.1381.33000,5.0.2195.6904,\system32,,
4,0,x86,Rpcrt4.dll,4.0.1381.33000,4.0.1381.7230,\system32,,
4,0,x86,Rpcrt4.dll,4.0.1381.33000,4.0.1381.33551,\system32,,
5.2,0,x86,Msjet40.dll,4.0.1381.33000,4.0.8618.0,\system32,,
5.1,1,x86,Msjet40.dll,4.0.1381.33000,4.0.8618.0,\system32,,
5.1,0,x86,Msjet40.dll,4.0.1381.33000,4.0.8618.0,\system32,,
5,0,x86,Msjet40.dll,4.0.1381.33000,4.0.8618.0,\system32,,
4,0,x86,Msjet40.dll,4.0.1381.33000,4.0.8618.0,\system32,,
5.2,0,x86,Helpctr.exe,4.0.1381.33000,5.2.3790.161,\pchealth\helpctr\binaries,,
5.1,1,x86,Helpctr.exe,4.0.1381.33000,5.1.2600.1515,\pchealth\helpctr\binaries,,
5.1,0,x86,Helpctr.exe,4.0.1381.33000,5.1.2600.137,\pchealth\helpctr\binaries,,
5.2,0,x86,Dplayx.dll,4.0.1381.33000,5.2.3790.163,\system32,,
5.1,1,x86,Dplayx.dll,4.0.1381.33000,5.1.2600.1517,\system32,,
5.1,0,x86,Dplayx.dll,4.0.1381.33000,5.1.2600.148,\system32,,
5,0,x86,Dplayx.dll,4.0.1381.33000,5.0.2195.6922,\system32,,
5,0,x86,Dplayx.dll,5.1.0.0,5.1.2258.410,\system32,,
5,0,x86,Umandlg.dll,5.1.0.0,1.0.0.5,\system32,,
5,0,x86,Psxss.dll,5.1.0.0,5.0.2195.6929,\system32,,
4,0,x86,Psxss.dll,5.1.0.0,4.0.1381.7269,\system32,,
4,0,x86,w3svc.dll,5.1.0.0,4.2.788.1,\system32\inetsrv,,
5.1,1,x86,Mstask.dll,5.1.0.0,5.1.2600.1564,\system32,,
5.1,0,x86,Mstask.dll,5.1.0.0,5.1.2600.155,\system32,,
5,0,x86,Mstask.dll,5.1.0.0,4.71.2195.6920,\system32,,
4,0,x86,Mstask.dll,5.1.0.0,4.71.1979.1,\system32,,
5.2,1,x86,Itss.dll,5.1.0.0,5.2.3790.185,\system32,,
5.1,1,x86,Itss.dll,5.1.0.0,5.2.3790.185,\system32,,
5.1,0,x86,Itss.dll,5.1.0.0,5.2.3790.185,\system32,,
5,0,x86,Itss.dll,5.1.0.0,5.2.3790.185,\system32,,
4,0,x86,Itss.dll,5.1.0.0,5.2.3790.185,\system32,,
5.2,0,x86,Shell32.dll,5.1.0.0,6.0.3790.168,\system32,,
5.1,1,x86,Shell32.dll,5.1.0.0,6.0.2800.1556,\system32,,
5.1,0,x86,Shell32.dll,5.1.0.0,6.0.2750.151,\system32,,
5,0,x86,Shell32.dll,5.1.0.0,5.0.3900.6922,\system32,,
4,0,x86,Shell32.dll,5.1.0.0,4.0.1381.7267,\system32,,
4,0,x86,MSCONV97.dll,5.1.0.0,2003.1100.6252.0,\system32,,
4,0,x86,Rpcrt4.dll,5.1.0.0,4.0.1381.7299,\system32,,
5.2,0,x86,Msxml3.dll,5.1.0.0,8.50.2162.0,\system32,,
5.1,1,x86,Msxml3.dll,5.1.0.0,8.50.2162.0,\system32,,
5.1,0,x86,Msxml3.dll,5.1.0.0,8.50.2162.0,\system32,,
5,0,x86,Msxml3.dll,5.1.0.0,8.50.2162.0,\system32,,
5.2,0,x86,Netdde.exe,5.1.0.0,5.2.3790.184,\system32,,
5.1,1,x86,Netdde.exe,5.1.0.0,5.1.2600.1567,\system32,,
5.1,0,x86,Netdde.exe,5.1.0.0,5.1.2600.158,\system32,,
5,0,x86,Netdde.exe,5.1.0.0,5.0.2195.6952,\system32,,
4,0,x86,Netdde.exe,5.1.0.0,4.0.1381.7280,\system32,,
5.2,0,x86,Win32k.sys,5.1.0.0,5.2.3790.198,\system32,,
5.1,1,x86,Win32k.sys,5.1.0.0,5.1.2600.1581,\system32,,
5.1,0,x86,Win32k.sys,5.1.0.0,5.1.2600.166,\system32,,
5,0,x86,Win32k.sys,5.1.0.0,5.0.2195.6966,\system32,,
4,0,x86,Win32k.sys,5.1.0.0,4.0.1381.7292,\system32,,
4,0,x86,Win32k.sys,4.0.1381.33000,4.0.1381.33580,\system32,,
5.2,0,x86,Zipfldr.dll,4.0.1381.33000,6.0.3790.198,\system32,,
5.1,1,x86,Zipfldr.dll,4.0.1381.33000,6.0.2800.1584,\system32,,
5.1,0,x86,Zipfldr.dll,4.0.1381.33000,6.0.2750.167,\system32,,
5.2,0,x86,Reapi.dll,4.0.1381.33000,6.0.3790.211,\system32\inetsrv,,
5,0,x86,Reapi.dll,4.0.1381.33000,6.5.6980.98,path,,
5,0,x86,Reapi.dll,4.0.1381.33000,6.0.6617.25,path,,
5.2,0,x86,Shell32.dll,4.0.1381.33000,6.0.3790.205,\system32,,
5.1,1,x86,Shell32.dll,4.0.1381.33000,6.0.2800.1580,\system32,,
5.1,0,x86,Shell32.dll,4.0.1381.33000,6.0.2750.166,\system32,,
5,0,x86,Shell32.dll,4.0.1381.33000,5.0.3900.6975,\system32,,
4,0,x86,Shell32.dll,4.0.1381.33000,4.72.3843.3100,\system32,,
5.1,1,x86,Browseui.dll,4.0.1381.33000,6.0.2800.1584,\system32,,
5,1,x86,Browseui.dll,4.0.1381.33000,6.0.2800.1584,\system32,,
4,1,x86,Browseui.dll,4.0.1381.33000,6.0.2800.1584,\system32,,
5.2,0,x86,Wordpad.exe,4.0.1381.33000,5.2.3790.224,\system32,,
5.1,1,x86,Wordpad.exe,4.0.1381.33000,5.1.2600.1606,\system32,,
5.1,2,x86,Mswrd6.wpc,4.0.1381.33000,10.0.803.2,\system32,,
5,2,x86,Wordpad.exe,4.0.1381.33000,5.0.2195.6991,\system32,,
4,2,x86,Wordpad.exe,4.0.1381.33000,4.0.1381.7312,\system32,,
4,2,x86,Dhcpssvc.dll,4.0.1381.33000,4.0.1381.7304,\system32,,
5.2,0,x86,Hypertrm.dll,4.0.1381.33000,5.2.3790.233,\system32,,
5.1,1,x86,Hypertrm.dll,4.0.1381.33000,5.1.2600.1609,\system32,,
5.1,2,x86,Hypertrm.dll,4.0.1381.33000,5.1.2600.2563,\system32,,
5,2,x86,Hypertrm.dll,4.0.1381.33000,5.0.2195.7000,\system32,,
4,2,x86,Hypertrm.dll,4.0.1381.33000,4.0.1381.7323,\system32,,
5.2,0,x86,Lsasrv.dll,4.0.1381.33000,5.2.3790.220,\system32,,
5.1,1,x86,Lsasrv.dll,4.0.1381.33000,5.1.2600.1597,\system32,,
5.1,2,x86,Lsasrv.dll,4.0.1381.33000,5.1.2600.2525,\system32,,
5,2,x86,Lsasrv.dll,4.0.1381.33000,5.0.2195.6987,\system32,,
4,2,x86,Ntoskrnl.exe,4.0.1381.33000,4.0.1381.7268,\system32,,
5.2,0,x86,Wins.exe,4.0.1381.33000,5.2.3790.239,\system32,,
5,0,x86,Wins.exe,4.0.1381.33000,5.0.2195.7005,\system32,,
4,0,x86,Wins.exe,4.0.1381.33000,4.0.1381.7329,\system32,,
5.2,0,x86,Hhctrl.ocx,4.0.1381.33000,5.2.3790.233,\system32,,
5.1,1,x86,Hhctrl.ocx,4.0.1381.33000,5.2.3790.233,\system32,,
5.1,2,x86,Hhctrl.ocx,4.0.1381.33000,5.2.3790.1280,\system32,,
5,2,x86,Hhctrl.ocx,4.0.1381.33000,5.2.3790.233,\system32,,
4,2,x86,Hhctrl.ocx,4.0.1381.33000,5.2.3790.233,\system32,,
5.2,0,x86,User32.dll,4.0.1381.33000,5.2.3790.245,\system32,,
5.1,1,x86,User32.dll,4.0.1381.33000,5.1.2600.1617,\system32,,
5,1,x86,User32.dll,4.0.1381.33000,5.0.2195.7017,\system32,,
4,1,x86,User32.dll,4.0.1381.33000,4.0.1381.7342,\system32,,
4,1,x86,User32.dll,4.0.1381.33000,4.0.1381.33630,\system32,,
5.2,0,x86,Query.dll,4.0.1381.33000,5.2.3790.220,\system32,,
5.1,1,x86,Query.dll,4.0.1381.33000,5.1.2600.1596,\system32,,
5,1,x86,Ciodm.dll,4.0.1381.33000,5.0.2195.6981,\system32,,
5,1,x86,System.web.dll,1.0.0.0,1.0.3705.0,\Microsoft.Net\Framework\v1.0.3705,,
5,1,x86,System.web.dll,1.0.3705.0,1.0.3705.556,\Microsoft.Net\Framework\v1.0.3705,,
5,1,x86,System.web.dll,1.0.3705.1001,1.0.3705.6021,\Microsoft.Net\Framework\v1.0.3705,,
5,1,x86,System.web.dll,1.1.0.0,1.1.4322.0,\Microsoft.Net\Framework\v1.1.4322,,
5,1,x86,System.web.dll,1.1.4322.0,1.1.4322.1085,\Microsoft.Net\Framework\v1.1.4322,,
5,1,x86,System.web.dll,1.1.4322.2001,1.1.4322.2037,\Microsoft.Net\Framework\v1.1.4322,,
5.1,1,x86,Srvsvc.dll,1.1.4322.2001,5.1.2600.1613,\system32,,
5.1,2,x86,Srvsvc.dll,1.1.4322.2001,5.1.2600.2577,\system32,,
5.2,0,x86,Shell32.dll,1.1.4322.2001,6.0.3790.241,\system32,,
5.1,1,x86,Shell32.dll,1.1.4322.2001,6.0.2800.1613,\system32,,
5.2,2,x86,Shell32.dll,1.1.4322.2001,6.0.2900.2578,\system32,,
5,2,x86,Shell32.dll,1.1.4322.2001,5.0.3900.7009,\system32,,
5.2,0,x86,Wmp.dll,9.0.0.0,9.0.0.3250,\system32,,
5.2,0,x86,Msmsgs.exe,5.1.0.0,5.1.0.639,\Messenger,,
5.1,1,x86,Wmp.dll,9.0.0.0,9.0.0.3250,\system32,,
5.1,1,x86,Msmsgs.exe,4.7.0.0,4.7.0.2010,\Messenger,,
5.1,2,x86,Msmsgs.exe,4.7.0.3000,4.7.0.3001,\Messenger,,
5.1,2,x86,Msmsgs.exe,5.1.0.0,5.1.0.639,\Messenger,,
5,2,x86,Msmsgs.exe,5.1.0.0,5.1.0.639,\Messenger,,
5,2,x86,Wmp.dll,9.0.0.0,9.0.0.3250,\system32,,
5.2,0,x86,Llssrv.exe,9.0.0.0,5.2.3790.248,\system32,,
5,0,x86,Llssrv.exe,9.0.0.0,5.0.2195.7021,\system32,,
4,0,x86,Llssrv.exe,9.0.0.0,4.0.1381.7345,\system32,,
5.2,0,x86,Mrxsmb.sys,9.0.0.0,5.2.3790.252,\system32\drivers,,
5.1,1,x86,Mrxsmb.sys,9.0.0.0,5.1.2600.1620,\system32\drivers,,
5.2,2,x86,Mrxsmb.sys,9.0.0.0,5.1.2600.2598,\system32\drivers,,
5,2,x86,Mrxsmb.sys,9.0.0.0,5.0.2195.7023,\system32\drivers,,
5.2,0,x86,Ole32.dll,9.0.0.0,5.2.3790.250,\system32,,
5.1,1,x86,Ole32.dll,9.0.0.0,5.1.2600.1619,\system32,,
5.2,2,x86,Ole32.dll,9.0.0.0,5.1.2600.2595,\system32,,
5,2,x86,Ole32.dll,9.0.0.0,5.0.2195.7021,\system32,,
5.2,0,x86,Dhtmled.ocx,9.0.0.0,6.1.0.9231,\MicrosoftShared\Triedit,,
5.1,0,x86,Dhtmled.ocx,9.0.0.0,6.1.0.9232,\MicrosoftShared\Triedit,,
5,0,x86,Dhtmled.ocx,9.0.0.0,6.1.0.9232,\MicrosoftShared\Triedit,,
5.2,0,x86,Hlink.dll,9.0.0.0,5.2.3790.225,\system32,,
